"id_empresa","provincia","cod_letra","des_letra","cod_sector","des_sector","cod_tamano","des_tamano","cod_sector_tic","cod_tamano_tic","k","f_exp","tic1_1","tic1_2","tic1_3a","tic1_3b","tic1_3c","tic1_3d","tic2_1","tic2_2","tic2_2_1a","tic2_2_1b","tic2_2_1c","tic2_2_2","tic2_3","tic2_3_1a","tic2_3_1b","tic2_4","tic2_5_pers_ocup_h","tic2_5_pers_ocup_m","tic2_5_pers_ocup_internet_h","tic2_5_pers_ocup_internet_m","tic2_6a","tic2_6b","tic2_6c","tic2_6d","tic2_6e","tic2_6f","tic2_6g","tic2_6h","tic2_6i","tic2_6j","tic2_6k","tic2_7a","tic2_7b","tic2_7c","tic2_7d","tic2_8","tic2_8_1","tic2_8_2a","tic2_8_2b","tic2_8_2c","tic2_8_2d","tic2_8_2e","tic2_8_2f","tic2_8_2f_e","tic2_9","tic2_10","tic2_11","tic3_1","tic3_1_1_ventas","tic3_1_1_ventas_x_internet","tic3_1_1_ventas_x_internet_pais","tic3_1_1_ventas_x_internet_extranjero","tic3_1_2a","tic3_1_2b","tic3_1_2c","tic3_1_2d","tic3_1_2e","tic3_1_2f","tic3_1_2g","tic3_1_2g_e","tic3_2","tic3_2_1_compras","tic3_2_1_compras_x_internet","tic3_2_1_compras_x_internet_pais","tic3_2_1_compras_x_internet_extranjero","tic4_1a","tic4_1b","tic4_1c","tic4_1d","tic4_1e","tic4_1f","tic4_1_1_pers_ocup_h","tic4_1_1_pers_ocup_m","tic4_1_1_pers_ocup_usa_disp_h","tic4_1_1_pers_ocup_usa_disp_m","tic4_2a","tic4_2b","tic4_2c","tic4_2d","tic4_2e","tic4_3","tic4_3_1a","tic4_3_1b","tic4_4a","tic4_4b","tic4_4c","tic4_4d","tic4_4e","tic4_4f","tic4_4g","tic4_4h","tic5_1a","tic5_1b","tic5_1c","tic5_1d","tic5_1e","tic5_1f","tic5_1g","tic5_1h","tic6_1","tic6_1_1_pers_ocup_h","tic6_1_1_pers_ocup_m","tic6_1_1_pers_ocup_especialista_h","tic6_1_1_pers_ocup_especialista_m","tic6_2a","tic6_2b","tic6_2c","Año"
"14847587092",9,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,2,,,,,,1,1,2,2,1,"1",2,,,1,,,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,,,,,,,,"",2,2,1,2,7551263,,,,1,2,2,2,2,2,2,"",2,587040,,,,0,0,0,0,0,0,,,0,0,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,,,,,2,2,2,2018
"14878183178",17,"C","Industrias manufactureras",1,"Manufactura",3,"Mediana Empresa A",1,1,1,1,2,,,,,,1,1,1,1,2,"5",2,,,2,,,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,"",1,1,1,1,1274295,25,100,0,2,2,1,2,2,2,2,"",1,707243,45,100,0,38,40,0,0,0,27,,,0,0,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,2,,,,,2,2,1,2018
"47045961172",17,"G","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas",3,"Comercio",4,"Mediana Empresa B",2,1,1,1,2,,,,,,1,1,2,2,1,"2",2,,,2,,,0,0,1,1,1,1,1,1,1,1,1,,2,1,1,1,1,2,,,,,,,,"",2,2,1,1,4083645,80,100,0,2,1,2,2,2,2,2,"",1,2454214,56,100,0,0,0,0,0,0,0,,,0,0,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,,,,,2,2,1,2018
"47277444174",17,"F","Construcción",4,"Construcción",5,"Grande Empresa",1,2,1,1,2,,,,,,1,1,2,2,1,"3",1,2,1,2,,,0,0,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,,,,,,,,"",2,2,2,2,7184970,,,,1,2,2,2,2,2,2,"",1,5587297,100,100,0,3,0,0,2,0,2,,,0,0,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,,,,,2,2,1,2018
"47439304177",17,"M","Actividades profesionales, científicas y técnicas",5,"Servicios",4,"Mediana Empresa B",3,1,1,1,2,,,,,,1,1,2,2,1,"4",2,,,2,,,0,0,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,"",1,1,1,2,4305037,,,,1,2,2,2,2,2,2,"",2,4286177,,,,1,2,0,0,0,1,,,0,0,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,,,,,2,2,1,2018
"14599114093",9,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,2,,,,,,1,1,2,2,1,"3",2,,,1,,,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,,,,,,,,"",1,1,1,2,7378873,,,,2,2,1,2,2,2,2,"",2,6829050,,,,0,0,0,0,0,0,,,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2018
"14818367172",17,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,2,,,,,,1,1,2,2,1,"2",2,,,2,,,0,0,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,"",2,2,1,2,5533444,,,,1,1,1,2,2,2,2,"",2,589681,,,,0,0,0,0,0,0,,,0,0,2,1,2,2,2,2,,,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,,,,,2,2,2,2018
"14868404095",9,"L","Actividades inmobiliarias",5,"Servicios",5,"Grande Empresa",3,2,1,1,2,,,,,,1,1,2,2,1,"2",2,,,2,,,0,0,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,,,2,2,2,2,2,2,"",2,2,2,2,15035246,,,,2,2,1,2,2,2,2,"",2,13833347,,,,0,0,0,0,0,0,,,0,0,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2018
"47297741175",17,"C","Industrias manufactureras",1,"Manufactura",3,"Mediana Empresa A",1,1,1,1.97716365047517,2,,,,,,1,1,2,2,1,"2",1,1,2,2,,,0,0,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,,,,,,,,"",2,2,2,1,1967091,10,100,,1,2,2,2,2,2,2,"",1,1343433,5,100,,0,0,0,0,0,0,,,0,0,1,1,2,2,2,2,,,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,,,,,2,2,1,2018
"47303960178",17,"C","Industrias manufactureras",1,"Manufactura",5,"Grande Empresa",1,2,1,1,2,,,,,,1,1,2,1,1,"2",2,,,2,,,0,0,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,,,,,,,,"",2,2,2,2,65796515,,,,1,2,2,2,2,2,2,"",2,66212832,,,,0,18,0,0,0,1,,,0,0,2,1,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,2,2,1,2018
